id,imgtitle,image,imgdesc
50,картинка 1,files/covers/1.jpeg,20.05.2025
51,картинка 2,files/covers/2.jpeg,20.05.2025
52,картинка 3,files/covers/3.jpeg,20.05.2025
53,картинка 4,files/covers/4_bwypvNn.jpeg,20.05.2025
54,картинка 5,files/covers/5_iN1i3HZ.jpeg,20.05.2025
55,картинка 6,files/covers/6.jpeg,20.05.2025
56,картинка 7,files/covers/7.jpeg,20.05.2025
57,картинка 8,files/covers/8.jpeg,20.05.2025
67,Картинка 9,files/covers/картинка_9.jpeg,20.05.2025
68,Картинка 10,files/covers/картинка_10.jpeg,20.05.2025
69,Картинка 11,files/covers/картинка_12.jpeg,20.05.2025
70,картинка 12,files/covers/картинка_11.jpeg,20.05.2025
71,Картинка 13,files/covers/картинка_13.jpeg,20.05.2025
72,картинка 14,files/covers/картинка_14.jpeg,20.05.2025
73,Картинка 15,files/covers/картинка_15.jpeg,20.05.2025
74,Картинка 16,files/covers/картинка_16.jpeg,20.05.2025
